"","State","P1990","P2010","Abbr","Code","state"
"1","Alabama",4040587,4779736,"AL",1,"al"
"2","Alaska",550043,710231,"AK",2,"ak"
"3","Arizona",3665228,6392017,"AZ",4,"az"
"4","Arkansas",2350725,2915918,"AR",5,"ar"
"5","California",29760021,37253956,"CA",6,"ca"
"6","Colorado",3294394,5029196,"CO",8,"co"
"7","Connecticut",3287116,3574097,"CT",9,"ct"
"8","Delaware",666168,897934,"DE",10,"de"
"9","District of Columbia",606900,601723,"DC",11,"dc"
"10","Florida",12937926,18801310,"FL",12,"fl"
"11","Georgia",6478216,9687653,"GA",13,"ga"
"12","Hawaii",1108229,1360301,"HI",15,"hi"
"13","Idaho",1006749,1567582,"ID",16,"id"
"14","Illinois",11430602,12830632,"IL",17,"il"
"15","Indiana",5544159,6483802,"IN",18,"in"
"16","Iowa",2776755,3046355,"IA",19,"ia"
"17","Kansas",2477574,2853118,"KS",20,"ks"
"18","Kentucky",3685296,4339367,"KY",21,"ky"
"19","Louisiana",4219973,4533372,"LA",22,"la"
"20","Maine",1227928,1328361,"ME",23,"me"
"21","Maryland",4781468,5773552,"MD",24,"md"
"22","Massachusetts",6016425,6547629,"MA",25,"ma"
"23","Michigan",9295297,9883640,"MI",26,"mi"
"24","Minnesota",4375099,5303925,"MN",27,"mn"
"25","Mississippi",2573216,2967297,"MS",28,"ms"
"26","Missouri",5117073,5988927,"MO",29,"mo"
"27","Montana",799065,989415,"MT",30,"mt"
"28","Nebraska",1578385,1826341,"NE",31,"ne"
"29","Nevada",1201833,2700551,"NV",32,"nv"
"30","New Hampshire",1109252,1316470,"NH",33,"nh"
"31","New Jersey",7730188,8791894,"NJ",34,"nj"
"32","New Mexico",1515069,2059179,"NM",35,"nm"
"33","New York",17990455,19378102,"NY",36,"ny"
"34","North Carolina",6628637,9535483,"NC",37,"nc"
"35","North Dakota",638800,672591,"ND",38,"nd"
"36","Ohio",10847115,11536504,"OH",39,"oh"
"37","Oklahoma",3145585,3751351,"OK",40,"ok"
"38","Oregon",2842321,3831074,"OR",41,"or"
"39","Pennsylvania",11881643,12702379,"PA",42,"pa"
"40","Rhode Island",1003464,1052567,"RI",44,"ri"
"41","South Carolina",3486703,4625364,"SC",45,"sc"
"42","South Dakota",696004,814180,"SD",46,"sd"
"43","Tennessee",4877185,6346105,"TN",47,"tn"
"44","Texas",16986510,25145561,"TX",48,"tx"
"45","Utah",1722850,2763885,"UT",49,"ut"
"46","Vermont",562758,625741,"VT",50,"vt"
"47","Virginia",6187358,8001024,"VA",51,"va"
"48","Washington",4866692,6724540,"WA",53,"wa"
"49","West Virginia",1793477,1852994,"WV",54,"wv"
"50","Wisconsin",4891769,5686986,"WI",55,"wi"
"51","Wyoming",453588,563626,"WY",56,"wy"
